prompt,case_number,evaluation_seed,prompt1
A man hug a woman at the beach,1,42,A man and a woman at the beach
A man hug a woman at the forest,2,42,A man and a woman at the forest
A man hug a woman at the mountain,3,42,A man and a woman at the mountain
A man hug a woman at the sea,4,42,A man and a woman at the sea
A man hug a woman at the lake,5,42,A man and a woman at the lake
A man hug a woman at the river,6,42,A man and a woman at the river
A man hug a woman at the sky,7,42,A man and a woman at the sky
A man hug a woman at the ground,8,42,A man and a woman at the ground
A man hug a woman at the grass,9,42,A man and a woman at the grass
A man hug a woman at the snow,10,42,A man and a woman at the snow
