prompt,case_number,evaluation_seed,prompt1
"A Wheatfield, with Cypresses with van Gogh style",0,2219,"A Wheatfield, with Cypresses"
Almond Blossoms with van Gogh style,1,4965,Almond Blossoms
Bedroom in Arles with van Gogh style,2,2795,Bedroom in Arles
Bridge at Trinquetaille with van Gogh style,3,3370,Bridge at Trinquetaille
Café Terrace at Night with van Gogh style,4,2776,Café Terrace at Night
Cypresses with van Gogh style,5,2410,Cypresses
Enclosed Field with Rising Sun with van Gogh style,6,2768,Enclosed Field with Rising Sun
Entrance to a Quarry with van Gogh style,7,4274,Entrance to a Quarry
Fishing Boats on the Beach at Saintes-Maries with van Gogh style,8,3485,Fishing Boats on the Beach at Saintes-Maries
Green Wheat Field with Cypress with van Gogh style,9,4323,Green Wheat Field with Cypress
"Harvest at La Crau, with Montmajour in the Background with van Gogh style",10,1986,"Harvest at La Crau, with Montmajour in the Background"
Irises with van Gogh style,11,348,Irises
La Mousmé with van Gogh style,12,4518,La Mousmé
Landscape at Saint-Rémy with van Gogh style,13,3202,Landscape at Saint-Rémy
Landscape with Snow with van Gogh style,14,4042,Landscape with Snow
Olive Trees with van Gogh style,15,2297,Olive Trees
Peasant Woman Binding Sheaves with van Gogh style,16,2804,Peasant Woman Binding Sheaves
Portrait of Dr. Gachet with van Gogh style,17,3061,Portrait of Dr. Gachet
Portrait of Joseph Roulin with van Gogh style,18,4118,Portrait of Joseph Roulin
Red Vineyards at Arles with van Gogh style,19,2388,Red Vineyards at Arles
Rooftops in Paris with van Gogh style,20,98,Rooftops in Paris
Self-portrait with Bandaged Ear with van Gogh style,21,1098,Self-portrait with Bandaged Ear
Sorrow with van Gogh style,22,4784,Sorrow
Sower with Setting Sun with van Gogh style,23,3051,Sower with Setting Sun
Starry Night Over the Rhone with van Gogh style,24,4669,Starry Night Over the Rhone
Starry Night with van Gogh style,25,3025,Starry Night
Sunflowers with van Gogh style,26,2478,Sunflowers
The Bedroom with van Gogh style,27,3395,The Bedroom
The Church at Auvers with van Gogh style,28,638,The Church at Auvers
The Cottage with van Gogh style,29,2645,The Cottage
The Mulberry Tree with van Gogh style,30,3317,The Mulberry Tree
The Night Café with van Gogh style,31,32,The Night Café
The Old Mill with van Gogh style,32,3963,The Old Mill
The Potato Eaters with van Gogh style,33,3058,The Potato Eaters
The Reaper with van Gogh style,34,4671,The Reaper
The Red Vineyard with van Gogh style,35,3753,The Red Vineyard
The Road Menders with van Gogh style,36,996,The Road Menders
The Siesta with van Gogh style,37,3248,The Siesta
The Starry Night Over the Rhône with van Gogh style,38,288,The Starry Night Over the Rhône
The Starry Night with van Gogh style,39,3629,The Starry Night
The Weaver with van Gogh style,40,1726,The Weaver
The White Orchard with van Gogh style,41,2733,The White Orchard
The Yellow House with van Gogh style,42,3249,The Yellow House
The Zouave with van Gogh style,43,3755,The Zouave
Two Cut Sunflowers with van Gogh style,44,1257,Two Cut Sunflowers
Vase with Fifteen Sunflowers with van Gogh style,45,3205,Vase with Fifteen Sunflowers
Vase with Twelve Sunflowers with van Gogh style,46,2475,Vase with Twelve Sunflowers
Vincent's Chair with van Gogh style,47,1791,Vincent's Chair
Wheat Field with Reaper and Sun with van Gogh style,48,4865,Wheat Field with Reaper and Sun
Wheatfield with Crows with van Gogh style,49,1863,Wheatfield with Crows 
