prompt,case_number,evaluation_seed,prompt1
"Guernica by Pablo Picasso",0,2219,Guernica
"Les Demoiselles d'Avignon by Pablo Picasso",1,14965,Les Demoiselles d'Avignon
"The Weeping Woman by Pablo Picasso",2,2795,The Weeping Woman
"Girl before a Mirror by Pablo Picasso",3,3370,Girl before a Mirror
"The Old Guitarist by Pablo Picasso",4,2776,The Old Guitarist
"Seated Woman with a Book by Pablo Picasso",5,2410,Seated Woman with a Book
"Three Musicians by Pablo Picasso",6,2768,Three Musicians
"Portrait of Dora Maar by Pablo Picasso",7,4274,Portrait of Dora Maar
"The Dream by Pablo Picasso",8,3485,The Dream
"Blue Nude by Pablo Picasso",9,4323,Blue Nude
"Bull's Head by Pablo Picasso",10,1986,Bull's Head
"The Kiss by Pablo Picasso",11,348,The Kiss
"The Tragedy by Pablo Picasso",12,4518,The Tragedy
"The Blind Man's Meal by Pablo Picasso",13,3202,The Blind Man's Meal
"The Absinthe Drinker by Pablo Picasso",14,4042,The Absinthe Drinker
"Mother and Child by Pablo Picasso",15,2297,Mother and Child
"The Three Dancers by Pablo Picasso",16,2804,The Three Dancers
"The Acrobat by Pablo Picasso",17,3061,The Acrobat
"The Guitar Player by Pablo Picasso",18,4118,The Guitar Player
"Jacqueline with Flowers by Pablo Picasso",19,2388,Jacqueline with Flowers
"Woman with Yellow Hair by Pablo Picasso",20,98,Woman with Yellow Hair
"The Red Armchair by Picasso",21,1098,The Red Armchair
"The Weeping Woman by Picasso",22,4784,The Weeping Woman
"Reclining Nude by Picasso",23,3051,Reclining Nude
"The Blue Room by Picasso",24,4669,The Blue Room
"Portrait of Ambroise Vollard by Picasso",25,3025,Portrait of Ambroise Vollard
"The Frugal Repast by Picasso",26,2478,The Frugal Repast
"Portrait of Gertrude Stein by Picasso",27,3395,Portrait of Gertrude Stein
"La Vie by Picasso",28,638,La Vie
"Family of Saltimbanques by Picasso",29,2645,Family of Saltimbanques
"The Absinthe Drinker by Picasso",30,3317,The Absinthe Drinker
"The Tragedy by Picasso",31,32,The Tragedy
"Mother and Child by Picasso",32,3963,Mother and Child
"The Blue Room by Picasso",33,3058,The Blue Room
"Jacqueline with Flowers by Picasso",34,4671,Jacqueline with Flowers
"Woman with Yellow Hair by Picasso",35,3753,Woman with Yellow Hair
"The Red Armchair by Picasso",36,996,The Red Armchair
"The Weeping Woman by Picasso",37,3248,The Weeping Woman
"Reclining Nude by Picasso",38,288,Reclining Nude
"The Frugal Repast by Picasso",39,3629,The Frugal Repast
"Portrait of Ambroise Vollard by Picasso",40,1726,Portrait of Ambroise Vollard
"Portrait of Gertrude Stein by Picasso",41,2733,Portrait of Gertrude Stein
"La Vie by Picasso",42,3249,La Vie
"Family of Saltimbanques by Picasso",43,3755,Family of Saltimbanques
"Les Demoiselles d'Avignon by Picasso",44,1257,Les Demoiselles d'Avignon
"Girl before a Mirror by Picasso",45,3205,Girl before a Mirror
"The Kiss by Picasso",46,2475,The Kiss
"The Blind Man's Meal by Picasso",47,1791,The Blind Man's Meal
"The Three Dancers by Picasso",48,4865,The Three Dancers
"The Old Guitarist by Picasso",49,1863,The Old Guitarist
