prompt,case_number,evaluation_seed,prompt1
A photo of tower on the road,1,42,A photo of road
A photo of tower on the forest,2,42,A photo of forest
A photo of tower on the beach,3,42,A photo of beach
A photo of tower on the mountain,4,42,A photo of mountain
A photo of tower on the sea,5,42,A photo of sea
A photo of tower on the lake,6,42,A photo of lake
A photo of tower on the river,7,42,A photo of river
A photo of tower on the sky,8,42,A photo of sky
A photo of tower on the ground,9,42,A photo of ground
A photo of tower on the grass,10,42,A photo of grass
A photo of tower on the snow,11,42,A photo of snow
